starId,movieId
nm9423837,AES11
nm9423285,AES70
nm9423292,AES70
nm9423431,AES70
nm9428475,AES70
nm9423682,AES70
nm9430266,AES74
nm9426239,AES74
nm9424943,AES74
nm9423909,AES74
nm9423172,AES74
nm9425676,AES80
nm9426614,AES80
nm9427892,AES80
nm9425272,AES80
nm9423456,AES85
nm9430267,AES85
nm9425984,AES85
nm9430268,AES85
nm9425645,AES85
nm9425629,AES85
nm9425941,AES85
nm9425441,AES85
nm9426563,AES85
nm9430269,AES85
nm9427402,AES85
nm9425992,AES85
nm9423212,AES85
nm9426200,AES90
nm9426335,AES90
nm9423082,AES90
nm9424375,AES90
nm9424449,AES90
nm9424018,AES90
nm9430270,AES90
nm9423697,AES90
nm9428184,AES100
nm9429937,AES100
nm9430271,AES100
nm9430272,AES100
nm9423933,AES100
nm9426936,AES100
nm9427920,AES100
nm9429667,AES100
nm9424692,AES100
nm9426900,AES100
nm9428809,AES100
nm9425069,AES100
nm9430273,AES100
nm9429372,AES100
nm9430274,AES100
nm9430275,AEy2
nm9430276,AEy9
nm9430277,AEy9
nm9430278,AEy12
nm9430279,AEy12
nm9430280,AEy12
nm9430281,AEy14
nm9430282,AEy14
nm9430283,AEy14
nm9430284,AEy14
nm9425930,AEy16
nm9430285,AEy16
nm9430286,AEy16
nm9430287,AEy16
nm9430288,AEy16
nm9428073,AEy16
nm9430289,AEy16
nm9430290,AEy18
nm9430291,AEy18
nm9425967,AEy18
nm9430292,AEy18
nm9430293,AfA10
nm9430294,AfA10
nm9430295,AfA10
nm9430296,AfA10
nm9430297,AfA10
nm9430298,AfA10
nm9430299,AfA10
nm9430300,AfA10
nm9423759,AFl10
nm9423392,AFl10
nm9430301,AFl10
nm9425837,AHa10
nm9427832,AHa10
nm9425948,AHa10
nm9427279,AHa10
nm9430302,AHa10
nm9429220,AHa10
nm9424490,AHa10
nm9430303,AGi10
nm9430304,AGi10
nm9430305,AHo1
nm9430306,AHo1
nm9430307,AHo1
nm9427106,AHo1
nm9430308,AHo1
nm9430309,AG20
nm9423289,AG20
nm9430310,AG20
nm9429464,AG20
nm9425264,AG30
nm9430311,AG30
nm9430312,AG30
nm9430313,AG30
nm9430314,AG40
nm9423289,AG40
nm9430315,AG40
nm9430316,AG70
nm9430317,AGe20
nm9430318,AGe20
nm9430319,AGe20
nm9430320,AGe20
nm9430321,AGe20
nm9430322,AGe20
nm9430323,AGe20
nm9430324,AgH1
nm9425697,AgH1
nm9430325,AgH5
nm9430326,AgH5
nm9430327,AgH10
nm9430328,AgH10
nm9424621,AgH10
nm9430329,AgH10
nm9430330,AgH10
nm9430331,AgH10
nm9430332,AgH10
nm9430333,AgH10
nm9430334,AgH10
nm9430335,AgH13
nm9430336,AgH13
nm9430337,AgH13
nm9430338,AgH13
nm9430339,AgH15
nm9430340,AgH15
nm9430341,AgH15
nm9430342,AgH15
nm9428899,AgH15
nm9426681,AgH19
nm9430343,AgH19
nm9425081,AgH19
nm9430344,AMt10
nm9430345,AMt10
nm9430346,AMt10
nm9430347,AMt15
nm9430348,AMt15
nm9423307,AGl10
nm9423403,AGl10
nm9430349,AGl10
nm9428933,AGl10
nm9423281,AGl10
nm9424667,AGl10
nm9424301,AGl12
nm9424001,AGl12
nm9430350,AGl12
nm9430351,AGl12
nm9424599,AGl12
nm9425697,AGl12
nm9430352,AGm10
nm9430353,AGm10
nm9430354,AGm10
nm9430355,AGm10
nm9430356,AGm10
nm9430357,AGm10
nm9423716,AGr10
nm9430358,AGr10
nm9430359,AGs10
nm9430360,AGs10
nm9430361,AGs10
nm9430362,AGs10
nm9430363,AGs10
nm9430364,AGs10
nm9430365,AGs10
nm9430366,AGs10
nm9430367,AGs10
nm9430368,AGs10
nm9428959,AHb20
nm9424631,AHb20
nm9430369,AHu1
nm9430370,AHu1
nm9430371,AiE10
nm9430372,AiE10
nm9430373,AiE10
nm9430374,AiE10
nm9430375,AiE10
nm9430376,AiE10
nm9426489,AiE10
nm9430377,AiE10
nm9430378,AiE10
nm9430379,AII1
nm9430380,AII1
nm9423988,AII1
nm9426783,AII3
nm9428922,AII3
nm9430381,AiN10
nm9428604,AJa1
nm9428333,AJa1
nm9427761,AJa1
nm9430382,AJa1
nm9430383,AJa1
nm9430384,AJa1
nm9426992,AJd10
nm9426614,AJG50
nm9425676,AJG50
nm9425078,AJG50
nm9425735,AJG50
nm9430385,AJG50
nm9424471,AJG50
nm9430386,AJG50
nm9424465,AJo10
nm9426298,AJo10
nm9430387,AJo10
nm9430388,AJo10
nm9426942,AJo10
nm9425118,AJP1
nm9429129,AJP1
nm9428637,AJP1
nm9430389,AJP1
nm9425260,AJP1
nm9429355,AJP1
nm9430390,AJP1
nm9425923,AJP1
nm9430391,AJP1
nm9423502,AJP2
nm9428114,AJP2
nm9424423,AJP2
nm9424513,AJP2
nm9430392,AJP2
nm9428253,AJP3
nm9425907,AJP3
nm9430393,AJP3
nm9430394,AJP3
nm9429581,AJP3
nm9423400,AJP3
nm9425913,AJP3
nm9430395,AJP3
nm9423156,AJP3
nm9430396,AJP3
nm9430397,AJP3
nm9428320,AJP5
nm9424209,AJP5
nm9423580,AJP5
nm9423365,AJP5
nm9430398,AJP5
nm9425118,AJP6
nm9426489,AJP6
nm9424423,AJP6
nm9429100,AJP7
nm9426444,AJP7
nm9426928,AJP7
nm9430399,AJP7
nm9430400,AJP7
nm9430401,AJP7
nm9425132,AJP15
nm9430402,AJP15
nm9426243,AJP15
nm9428629,AJP15
nm9424639,AJP15
nm9429808,AJP15
nm9430403,AJP15
nm9428411,AJP25
nm9429604,AJP25
nm9424445,AJP25
nm9424423,AJP25
nm9430404,AJP25
nm9425790,AJP25
nm9425132,AJP29
nm9428045,AJP29
nm9430405,AJP29
nm9423651,AJP29
nm9429772,AJP29
nm9430406,AJP29
nm9430407,AJP29
nm9430408,AJP29
nm9430409,AJP29
nm9423473,AJs1
nm9423463,AJs1
nm9426237,AJs1
nm9429300,AJs1
nm9430410,AJy10
nm9430411,AJy10
nm9430412,AJy10
nm9430413,AJy10
nm9430414,AJy10
nm9430415,AJy10
nm9430416,AJy10
nm9430417,AJy10
nm9425221,AK50
nm9428187,AK50
nm9430418,AK50
nm9426611,AK57
nm9427721,AK57
nm9423431,AK57
nm9423447,AK57
nm9426548,AK57
nm9430419,AK59
nm9426682,AK90
nm9430420,AK90
nm9427509,AK90
nm9423181,AK90
nm9430421,AK90
nm9429733,AK90
nm9423236,AK90
nm9430422,AKa5
nm9430423,AKa5
nm9430424,AKa5
nm9430425,AKa15
nm9430426,AKa15
nm9430427,AKa15
nm9430428,AKa15
nm9430429,AKa20
nm9430430,AKa20
nm9430431,AKa20
nm9430432,AKa20
nm9430433,AKa20
nm9430434,AKa20
nm9430435,AKa20
nm9426945,AKe1
nm9423604,AKe1
nm9424376,AKe1
nm9423502,AKe1
nm9427983,AKe5
nm9430436,AKe5
nm9426334,AKe5
nm9430437,AKe5
nm9430438,AKe5
nm9430439,AKe5
nm9430440,AKj10
nm9430441,AKj10
nm9430442,AKj10
nm9427076,AKj11
nm9424689,AKj11
nm9427612,AKj11
nm9429630,AKj12
nm9424309,AKj12
nm9430443,AKj13
nm9428253,AKj13
nm9427490,AKj13
nm9427898,AKj14
nm9430444,AKj14
nm9427632,AKj15
nm9429826,AKj15
nm9426077,AKj16
nm9428873,AKj16
nm9424831,AKj16
nm9428914,AKj16
nm9424998,AKj17
nm9424656,AKj17
nm9429701,AKj17
nm9430445,AKj18
nm9430446,AKj18
nm9430447,AKj19
nm9424698,AKj19
nm9424252,AKj19
nm9426684,AKj20
nm9430448,AKj20
nm9428286,AKj20
nm9423993,AKj21
nm9430449,AKj21
nm9430450,AKj21
nm9430451,AkK2
nm9427302,AkK7
nm9428800,AkK7
nm9430452,AkK9
nm9427302,AkK11
nm9430453,AkK11
nm9430454,AkK11
nm9428800,AkK11
nm9430455,AkK11
nm9430456,AkK12
nm9430457,AkK12
nm9426507,AkK12
nm9427302,AkK14
nm9428800,AkK14
nm9430458,AkK14
nm9430459,AkK14
nm9430460,AkK14
nm9428800,AkK15
nm9427302,AkK20
nm9427302,AkK22
nm9430461,AkK22
nm9430462,AkK22
nm9430463,AkK22
nm9427302,AkK23
nm9430464,AkK26
nm9430465,AkK26
nm9430466,AkK27
nm9430467,AkK27
nm9430468,AkK28
nm9430469,AkK28
nm9430470,AkK28
nm9430471,AkK28
nm9430472,AkK28
nm9430473,AkK28
nm9430474,AkK28
nm9430475,AkK29
nm9430476,AkK29
nm9428673,AkK29
nm9430477,AkK29
nm9425338,AkK30
nm9430478,AkK30
nm9430479,AkK31
nm9430480,AKl10
nm9429512,AKo10
nm9428409,AKo10
nm9430481,AKo10
nm9430482,AKo10
nm9430483,AKo10
nm9427218,AKo10
nm9428962,AKo15
nm9428536,AKo15
